onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1582806902	n/a	1	130	1	1	2	4	1	6	1582806901
1582806903	n/a	1	131	1	1	2	12	2	6	1582806902
1582806904	n/a	1	132	1	1	2	6	2	6	1582806903
1582806905	n/a	1	133	1	1	2	14	1	6	1582806904
1582806906	n/a	1	134	1	1	2	8	1	6	1582806905
1582806908	n/a	1	135	1	1	2	16	2	6	1582806907
1582806909	n/a	1	136	1	1	2	2	2	6	1582806908
1582806910	n/a	1	137	1	1	2	10	1	6	1582806909
1582806911	n/a	1	138	1	1	2	4	1	6	1582806910
1582806912	n/a	1	139	1	1	2	12	2	6	1582806911
1582806914	n/a	1	140	1	1	2	6	2	6	1582806913
1582806915	n/a	1	141	1	1	2	14	1	6	1582806914
1582806916	n/a	1	142	1	1	2	8	1	6	1582806915
1582806917	n/a	1	143	1	1	2	16	2	6	1582806916
1582806918	n/a	1	144	1	1	2	2	2	6	1582806917
1582806920	n/a	1	145	1	3	5	17	3	7	1582806919
1582806921	n/a	1	146	1	3	5	17	3	7	1582806920
1582806922	n/a	1	147	1	3	5	17	3	7	1582806921
1582806923	n/a	1	148	1	3	5	17	3	7	1582806922
1582806924	n/a	1	149	1	3	5	17	3	7	1582806923
1582806926	n/a	1	150	1	3	5	17	3	7	1582806925
1582806927	n/a	1	151	1	3	5	17	3	7	1582806926
1582806928	n/a	1	152	1	3	5	17	3	7	1582806927
1582806929	n/a	1	153	1	3	5	17	3	7	1582806928
1582806930	n/a	1	154	1	3	5	17	3	7	1582806929
1582806932	n/a	1	155	1	3	5	17	3	7	1582806931
1582806933	n/a	1	156	1	3	5	17	3	7	1582806932
1582806934	n/a	1	157	1	3	5	17	3	7	1582806933
1582806935	n/a	1	158	1	3	5	17	3	7	1582806934
1582806936	n/a	1	159	1	3	5	17	3	7	1582806935
1582806938	n/a	1	160	1	3	5	17	3	7	1582806937
1582806939	n/a	1	161	1	1	3	2	1	8	1582806938
1582806940	n/a	1	162	1	1	3	10	1	8	1582806939
1582806941	n/a	1	163	1	1	3	4	2	8	1582806940
1582806942	n/a	1	164	1	1	3	12	2	8	1582806941
1582806944	n/a	1	165	1	1	3	6	1	8	1582806943
1582806945	n/a	1	166	1	1	3	14	1	8	1582806944
1582806946	n/a	1	167	1	1	3	8	2	8	1582806945
1582806947	n/a	1	168	1	1	3	16	2	8	1582806946
1582806948	n/a	1	169	1	1	3	10	1	8	1582806947
1582806950	n/a	1	170	1	1	3	4	1	8	1582806949
1582806951	n/a	1	171	1	1	3	12	2	8	1582806950
1582806952	n/a	1	172	1	1	3	6	2	8	1582806951
1582806953	n/a	1	173	1	1	3	14	1	8	1582806952
1582806954	n/a	1	174	1	1	3	8	1	8	1582806953
1582806956	n/a	1	175	1	1	3	16	2	8	1582806955
1582806957	n/a	1	176	1	1	3	2	2	8	1582806956
1582806958	n/a	1	177	1	1	3	10	1	8	1582806957
1582806959	n/a	1	178	1	1	3	4	1	8	1582806958
1582806960	n/a	1	179	1	1	3	12	2	8	1582806959
1582806962	n/a	1	180	1	1	3	6	2	8	1582806961
1582806963	n/a	1	181	1	1	3	14	1	8	1582806962
1582806964	n/a	1	182	1	1	3	8	1	8	1582806963
1582806965	n/a	1	183	1	1	3	16	2	8	1582806964
1582806966	n/a	1	184	1	1	3	2	2	8	1582806965
1582806968	n/a	1	185	1	1	3	10	1	8	1582806967
1582806969	n/a	1	186	1	1	3	4	1	8	1582806968
1582806970	n/a	1	187	1	1	3	12	2	8	1582806969
1582806971	n/a	1	188	1	1	3	6	2	8	1582806970
1582806972	n/a	1	189	1	1	3	14	1	8	1582806971
1582806974	n/a	1	190	1	1	3	8	1	8	1582806973
1582806975	n/a	1	191	1	1	3	16	2	8	1582806974
1582806976	n/a	1	192	1	1	3	2	2	8	1582806975
1582806977	n/a	1	193	1	3	5	17	3	9	1582806976
1582806978	n/a	1	194	1	3	5	17	3	9	1582806977
1582806980	n/a	1	195	1	3	5	17	3	9	1582806979
1582806981	n/a	1	196	1	3	5	17	3	9	1582806980
1582806982	n/a	1	197	1	3	5	17	3	9	1582806981
1582806983	n/a	1	198	1	3	5	17	3	9	1582806982
1582806984	n/a	1	199	1	3	5	17	3	9	1582806983
1582806986	n/a	1	200	1	3	5	17	3	9	1582806985
1582806987	n/a	1	201	1	3	5	17	3	9	1582806986
1582806988	n/a	1	202	1	3	5	17	3	9	1582806987
1582806989	n/a	1	203	1	3	5	17	3	9	1582806988
1582806990	n/a	1	204	1	3	5	17	3	9	1582806989
1582806992	n/a	1	205	1	3	5	17	3	9	1582806991
1582806993	n/a	1	206	1	3	5	17	3	9	1582806992
1582806994	n/a	1	207	1	3	5	17	3	9	1582806993
1582806995	n/a	1	208	1	3	5	17	3	9	1582806994
