onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1583421637	n/a	1	139	1	2	4	11	1	6	1583421636
1583421638	n/a	1	140	1	2	4	5	2	6	1583421637
1583421640	n/a	1	141	1	2	4	13	1	6	1583421638
1583421641	n/a	1	142	1	2	4	7	2	6	1583421640
1583421642	n/a	1	143	1	2	4	15	1	6	1583421641
1583421643	n/a	1	144	1	2	4	1	2	6	1583421642
1583421644	n/a	1	145	1	3	5	17	3	7	1583421643
1583421646	n/a	1	146	1	3	5	17	3	7	1583421644
1583421647	n/a	1	147	1	3	5	17	3	7	1583421646
1583421648	n/a	1	148	1	3	5	17	3	7	1583421647
1583421649	n/a	1	149	1	3	5	17	3	7	1583421648
1583421650	n/a	1	150	1	3	5	17	3	7	1583421649
1583421652	n/a	1	151	1	3	5	17	3	7	1583421650
1583421653	n/a	1	152	1	3	5	17	3	7	1583421652
1583421654	n/a	1	153	1	3	5	17	3	7	1583421653
1583421655	n/a	1	154	1	3	5	17	3	7	1583421654
1583421656	n/a	1	155	1	3	5	17	3	7	1583421655
1583421658	n/a	1	156	1	3	5	17	3	7	1583421656
1583421659	n/a	1	157	1	3	5	17	3	7	1583421658
1583421660	n/a	1	158	1	3	5	17	3	7	1583421659
1583421661	n/a	1	159	1	3	5	17	3	7	1583421660
1583421662	n/a	1	160	1	3	5	17	3	7	1583421661
1583421664	n/a	1	161	1	2	3	1	1	8	1583421662
1583421665	n/a	1	162	1	2	3	9	2	8	1583421664
1583421666	n/a	1	163	1	2	3	3	1	8	1583421665
1583421667	n/a	1	164	1	2	3	11	2	8	1583421666
1583421668	n/a	1	165	1	2	3	5	1	8	1583421667
1583421670	n/a	1	166	1	2	3	13	2	8	1583421668
1583421671	n/a	1	167	1	2	3	7	1	8	1583421670
1583421672	n/a	1	168	1	2	3	15	2	8	1583421671
1583421673	n/a	1	169	1	2	3	9	1	8	1583421672
1583421674	n/a	1	170	1	2	3	3	2	8	1583421673
1583421676	n/a	1	171	1	2	3	11	1	8	1583421674
1583421677	n/a	1	172	1	2	3	5	2	8	1583421676
1583421678	n/a	1	173	1	2	3	13	1	8	1583421677
1583421679	n/a	1	174	1	2	3	7	2	8	1583421678
1583421680	n/a	1	175	1	2	3	15	1	8	1583421679
1583421682	n/a	1	176	1	2	3	1	2	8	1583421680
1583421683	n/a	1	177	1	2	3	9	1	8	1583421682
1583421684	n/a	1	178	1	2	3	3	2	8	1583421683
1583421685	n/a	1	179	1	2	3	11	1	8	1583421684
1583421686	n/a	1	180	1	2	3	5	2	8	1583421685
1583421688	n/a	1	181	1	2	3	13	1	8	1583421686
1583421689	n/a	1	182	1	2	3	7	2	8	1583421688
1583421690	n/a	1	183	1	2	3	15	1	8	1583421689
1583421691	n/a	1	184	1	2	3	1	2	8	1583421690
1583421692	n/a	1	185	1	2	3	9	1	8	1583421691
1583421694	n/a	1	186	1	2	3	3	2	8	1583421692
1583421695	n/a	1	187	1	2	3	11	1	8	1583421694
1583421696	n/a	1	188	1	2	3	5	2	8	1583421695
1583421697	n/a	1	189	1	2	3	13	1	8	1583421696
1583421698	n/a	1	190	1	2	3	7	2	8	1583421697
1583421700	n/a	1	191	1	2	3	15	1	8	1583421698
1583421701	n/a	1	192	1	2	3	1	2	8	1583421700
1583421702	n/a	1	193	1	3	5	17	3	9	1583421701
1583421703	n/a	1	194	1	3	5	17	3	9	1583421702
1583421704	n/a	1	195	1	3	5	17	3	9	1583421703
1583421706	n/a	1	196	1	3	5	17	3	9	1583421704
1583421707	n/a	1	197	1	3	5	17	3	9	1583421706
1583421708	n/a	1	198	1	3	5	17	3	9	1583421707
1583421709	n/a	1	199	1	3	5	17	3	9	1583421708
1583421710	n/a	1	200	1	3	5	17	3	9	1583421709
1583421712	n/a	1	201	1	3	5	17	3	9	1583421710
1583421713	n/a	1	202	1	3	5	17	3	9	1583421712
1583421714	n/a	1	203	1	3	5	17	3	9	1583421713
1583421715	n/a	1	204	1	3	5	17	3	9	1583421714
1583421716	n/a	1	205	1	3	5	17	3	9	1583421715
1583421718	n/a	1	206	1	3	5	17	3	9	1583421716
1583421719	n/a	1	207	1	3	5	17	3	9	1583421718
1583421720	n/a	1	208	1	3	5	17	3	9	1583421719
